"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2024027809","N","U","U","Y","U","Y","3","Y","Y","01200","N","","","","","","","","N","1"
"2024088371","N","Y","N","Y","Y","N","1","Y","N","00998","N","","","","","","","","N","1"
"2024058367","N","Y","N","Y","Y","Y","1","Y","N","01200","N","","","","","","","","N","2"
"2025030046","N","Y","U","Y","Y","Y","1","Y","Y","00636","Y","U","Y","Y","U","1","U","U","N","1"
"2024101361","Y","U","U","U","U","U","9","Y","Y","17450","N","","","","","","","","N","2"
"2024088255","N","U","Y","Y","Y","Y","1","Y","U","64900","N","","","","","","","","N","1"
"2024098871","Y","N","Y","Y","Y","Y","1","Y","Y","01300","N","","","","","","","","N","2"
"2024098871","Y","Y","U","Y","Y","Y","1","Y","Y","01100","N","","","","","","","","N","3"
"2024047026","U","U","U","U","N","N","0","Y","Y","01340","N","","","","","","","","N","1"
"2024080873","Y","N","Y","Y","Y","Y","3","Y","N","01746","N","","","","","","","","N","2"
"2024080873","N","Y","Y","U","Y","N","3","Y","N","01340","N","","","","","","","","N","3"
"2024054675","Y","N","U","Y","U","N","0","N","N","00049","N","","","","","","","","N","1"
"2024026772","U","U","U","Y","U","Y","1","Y","Y","00942","N","","","","","","","","N","1"
"2024026772","U","Y","U","Y","U","Y","1","Y","Y","00599","N","","","","","","","","N","2"
"2024099027","N","N","Y","Y","N","N","0","Y","N","99999","N","","","","","","","","N","2"
"2024079541","N","U","U","U","U","U","1","U","U","01200","N","","","","","","","","N","1"
"2024079088","N","Y","Y","Y","Y","Y","1","Y","Y","00400","N","","","","","","","","N","2"
"2024061014","N","N","U","N","N","N","0","Y","N","99999","N","","","","","","","","N","1"
"2024104262","Y","U","U","Y","U","U","9","Y","Y","01330","Y","U","Y","U","U","9","Y","Y","N","1"
"2024061906","N","U","Y","Y","U","N","1","Y","U","00234","N","","","","","","","","N","2"
"2024089641","N","U","U","U","U","U","1","U","U","99999","N","","","","","","","","N","1"
"2024037155","Y","Y","U","Y","N","N","0","Y","Y","00000","Y","Y","N","N","N","0","Y","Y","N","1"
"2024035695","U","N","N","N","N","N","0","N","N","00250","N","","","","","","","","U","3"
"2024042780","Y","N","Y","N","N","N","0","Y","Y","01750","N","","","","","","","","N","1"
"2024042780","Y","N","Y","Y","N","N","0","Y","Y","01870","N","","","","","","","","N","2"
"2024066226","N","Y","Y","Y","","","0","Y","Y","00883","N","","","","","","","","N","2"
"2024089176","","","","","","","","","","","","","","","","","","","","1"
"2024077664","Y","Y","Y","Y","Y","Y","1","Y","Y","01700","Y","Y","Y","Y","Y","1","Y","Y","N","2"
"2024021485","Y","Y","Y","Y","U","U","9","Y","Y","01584","N","","","","","","","","N","1"
"2024074421","N","U","U","N","","","0","Y","N","01690","Y","U","U","Y","Y","2","Y","Y","N","1"
"2024088298","","","","","","","","","","","","","","","","","","","","2"
"2024071352","N","Y","U","Y","Y","Y","1","Y","Y","99999","N","","","","","","","","N","1"
"2024088087","N","N","U","Y","U","Y","1","Y","Y","01000","N","","","","","","","","N","1"
