"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2006028861","","04","N","3","1","","1","N","09","Y","HOND","1995","","","","","","","","0","01","1HGEG8656SL","1","","1","00","Y","S","025","0","","1","1","03","10","02","PA","1","1.0","P4D"
"2006028861","","50","N","1","1","","1","N","12","Y","FORD","2003","","","","","","","","0","01","1FTSF31L83E","1","","1","00","N","S","035","0","","2","1","03","01","01","PA","2","1.0","TPK"
"2006028861","","50","N","1","1","","1","N","01","Y","DODG","2002","","","","","","","","0","02","3B7KF26Z62M","1","","1","00","N","S","035","0","","3","1","03","01","03","PA","1","1.0","TPK"
"2006201859","","06","N","9","9","","9","N","12","Y","HOND","2003","","","","","","","","0","01","2HKYF18513H","1","","1","00","Y","N","999","0","","1","1","99","01","03","PA","1","1.0","PUT"
"2006201859","","04","N","9","9","","9","N","06","Y","FORD","1999","","","","","","","","0","01","1FAFP53SXXG","1","","9","00","Y","N","999","0","","2","1","99","03","03","PA","3","1.0","P4D"
"2006201859","","02","N","9","9","","9","N","06","Y","OLDS","2003","","","","","","","","0","02","1G3NF52E43C","1","","9","00","N","N","999","0","","3","1","99","03","03","PA","2","1.0","P4D"
"2006098730","","09","N","9","1","","1","N","12","U","ACUR","9999","","","","","","","","0","99","","1","","1","00","N","S","999","0","","1","1","05","01","01","ZZ","1","1.0",""
"2006098730","","04","N","2","1","","1","N","06","U","BUIC","1993","","","","","","","","0","01","1G4HP53L2PH","1","","1","00","N","S","000","0","","2","1","01","03","01","PA","2","1.0","P4D"
"2006085190","","06","N","3","1","","2","N","01","Y","FORD","1999","","","","","","","","0","01","1FAFP58U1XG","1","","1","00","Y","S","055","0","","1","1","07","01","01","PA","1","1.0","PSW"
"2006111778","","04","N","2","1","","1","N","01","Y","FORD","2006","","","","","","","","0","01","1FAFP53U26A","1","","1","00","N","S","999","0","","1","1","05","01","01","PA","1","1.0","P4D"
"2006111778","","04","N","3","2","","1","N","01","Y","CHEV","2005","","","","","","","","1","","1G1AK52F757","0","","1","00","Y","U","000","0","","2","2","07","06","98","PA","2","1.0","P4D"
"2006062081","","04","N","3","1","","1","N","01","Y","CHEV","1996","","","","","","","","0","01","1G1LD5544TY","1","","1","00","Y","S","999","0","","1","1","01","01","07","PA","1","1.0","P4D"
"2006062081","","09","N","2","1","","1","N","10","Y","CHEV","2005","","","","","","","","0","01","1G15CS24457","1","","1","00","N","E","999","0","","2","1","03","01","98","PA","2","1.0","P"
"2006043046","0","15","N","3","1","0","1","N","12","Y","TOYT","1996","","","","","","","","0","01","JT3HN87R8T0","1","12","1","00","Y","N","000","0","4","1","1","12","99","07","PA","1","6.0","PUT"
"2006043046","0","15","N","3","1","0","1","N","12","Y","CHRY","2005","","","","","","","","0","01","2C8GF68445R","2","12","1","00","Y","S","040","0","1","2","1","01","01","01","PA","2","1.0","PUT"
"2006025455","","05","N","3","1","","1","N","12","Y","PONT","2005","","","","","","","","0","01","5Y2SL63815Z","1","","4","00","Y","S","060","0","","1","1","03","16","01","PA","1","1.0","P4H"
"2006002476","","50","N","3","1","","1","N","12","Y","FORD","1993","","","","","","","","0","02","1FTCR10A0PP","1","","1","00","Y","W","999","0","","1","1","01","01","01","PA","1","4.0","TPK"
"2006002476","","02","N","2","1","","1","N","06","Y","CHEV","1998","","","","","","","","0","02","1G1JC1244W7","1","","1","00","N","W","000","0","","2","1","09","03","01","PA","2","1.0","PCP"
"2006111260","","15","N","3","1","","1","N","99","Y","FORD","2002","","","","","","","","0","01","1FMZU73E12U","1","","1","00","Y","N","099","0","","1","1","05","01","06","PA","1","1.0","PUT"
"2006111260","","09","N","3","1","","1","N","99","Y","NISS","2001","","","","","","","","0","01","1N41L01D51C","1","","1","00","Y","N","099","0","","2","1","07","01","00","PA","2","1.0","P"
"2006111260","","09","N","9","1","","1","N","99","U","UNKN","9999","","","","","","","","0","99","","2","","1","00","N","N","999","0","","3","1","99","01","01","ZZ","2","1.0",""
"2006083880","","15","N","0","1","","1","N","01","Y","CHEV","2006","","","","","","","","0","01","2CNDL73F866","1","","1","00","N","N","010","0","","1","1","02","12","07","PA","1","6.0","PUT"
"2006083880","","","N","","","","","N","","","","","U","1.0","99.0","2.0","U","1.0","U","0","00","","1","","","","","","000","","","2","30","","99","99","","2","31.0",""
"2006013690","","04","N","1","1","","2","N","12","Y","TOYT","2003","","","","","","","","0","01","4T1BF32K63U","1","","4","00","N","N","999","0","","1","1","07","16","01","PA","1","1.0","P4D"
"2006013690","","04","N","2","1","","2","N","06","Y","HOND","1997","","","","","","","","0","01","1HGCD5644VA","2","","2","00","Y","N","000","0","","2","1","03","03","01","WI","1","1.0","P4D"
"2006013690","","15","N","1","1","","2","N","06","Y","CHEV","2003","","","","","","","","0","01","1GNET16S036","1","","2","00","N","N","000","0","","3","1","07","03","01","PA","2","6.0","PUT"
