"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2019109108","U","U","Y","N","U","U","9","U","U","01150","N","","","","","","","","N","2"
"2019041156","N","U","N","Y","N","N","0","Y","Y","01573","N","","","","","","","","N","1"
"2019109274","Y","U","U","N","U","Y","3","Y","Y","01584","N","","","","","","","","N","1"
"2019082214","N","U","U","Y","U","U","1","Y","Y","14400","N","","","","","","","","N","1"
"2019094103","Y","Y","Y","N","N","N","0","Y","N","00088","N","","","","","","","","N","2"
"2019067353","","","","","","","","","","","","","","","","","","","","2"
"2019097572","Y","Y","N","N","N","N","0","Y","Y","01200","N","","","","","","","","N","1"
"2019100168","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","U","2"
"2019100168","U","U","U","N","N","N","0","U","U","99999","Y","U","N","N","N","0","U","U","U","1"
"2019068923","N","N","U","U","U","Y","1","Y","N","00954","N","","","","","","","","N","1"
"2019049907","Y","U","Y","N","N","N","0","Y","U","10000","N","","","","","","","","N","1"
"2019036552","Y","Y","Y","Y","Y","Y","1","Y","Y","01300","N","","","","","","","","N","1"
"2019060890","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2019103297","U","U","U","N","U","U","9","U","U","01200","N","","","","","","","","N","2"
"2019096210","Y","Y","Y","Y","Y","Y","2","Y","N","01690","N","","","","","","","","N","2"
"2019052463","","","","","","","","","","","","","","","","","","","","2"
"2019045043","N","N","U","N","Y","N","1","Y","Y","00600","N","","","","","","","","N","2"
"2019065297","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","2"
"2019078060","Y","U","Y","Y","Y","Y","1","Y","Y","00000","N","","","","","","","","N","2"
"2019112580","","","","","","","","","","","","","","","","","","","","1"
"2019071673","Y","Y","N","Y","N","N","0","N","N","01442","Y","N","U","N","N","0","N","N","N","2"
"2019071137","Y","Y","U","Y","Y","Y","2","Y","Y","01811","N","","","","","","","","N","2"
"2019088674","Y","Y","U","U","U","Y","1","Y","N","01600","N","","","","","","","","N","2"
"2019104156","Y","Y","U","U","U","Y","3","Y","Y","00110","N","","","","","","","","N","2"
"2019054994","N","N","U","Y","U","Y","1","N","N","00490","N","","","","","","","","N","1"
"2019100204","Y","U","N","Y","N","N","0","Y","U","01000","N","","","","","","","","N","1"
"2019105945","","","","","","","","","","","","","","","","","","","","2"
"2019078845","U","U","U","U","U","U","3","Y","Y","01200","N","","","","","","","","N","1"
